Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,1,0,Kickoff from DAL 35,,Kickoff,— B.Aubrey kicks 59 yards from DAL 35 to DET 6. J.Saylors to DET 36 for 30 yards (H.Luepke; M.Bell).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,2,0,7 Yard Pass,1st & 10 at DET 36,14:55 1st Shotgun,— J.Goff pass short right to A.St. Brown to DET 43 for 7 yards (D.Wilson; S.Revel).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,3,0,Pass Incomplete,2nd & 3 at DET 43,14:16 1st,— J.Goff pass incomplete short middle [O.Odighizuwa].
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,4,0,19 Yard Run,3rd & 3 at DET 43,14:13 1st Shotgun,— J.Gibbs left end to DAL 38 for 19 yards (Q.Williams).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,5,0,26 Yard Pass,1st & 10 at DAL 38,13:30 1st,— D.Skipper reported in as eligible. J.Goff pass short middle to J.Gibbs to DAL 12 for 26 yards (M.Hooker) [O.Odighizuwa].
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,6,0,4 Yard Pass,1st & 10 at DAL 12,12:43 1st,— J.Goff pass short right to R.Dwelley to DAL 8 for 4 yards (R.Steward).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,7,0,-2 Yard Run,2nd & 6 at DAL 8,12:04 1st,— J.Gibbs left end to DAL 10 for -2 yards (D.Ezeiruaku).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,8,0,-10 Yard Sack,3rd & 8 at DAL 10,11:30 1st Shotgun,— J.Goff sacked at DAL 20 for -10 yards (J.Houston).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,1,Detroit Lions,1,9,1,Field Goal,4th & 18 at DAL 20,10:50 1st,"— J.Bates 38 yard field goal is GOOD, Center-H.Hatten, Holder-J.Fox."
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,2,Dallas Cowboys,1,1,0,Kickoff from DET 35,,Kickoff,— J.Bates kicks 60 yards from DET 35 to DAL 5. K.Turpin to DAL 32 for 27 yards (S.Vaki).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,2,Dallas Cowboys,1,2,0,4 Yard Run,1st & 10 at DAL 32,10:40 1st,— J.Williams left tackle to DAL 36 for 4 yards (D.Reader).
2025,WEEK 14,Thursday Night Football,December 4th,DAL,DET,1st Quarter,2,Dallas Cowboys,1,3,0,11 Yard Pass,2nd & 6 at DAL 36,10:16 1st,— D.Prescott pass short right to G.Pickens to DAL 47 for 11 yards (T.Harper). DET-T.Harper was injured during the play.
