Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,1,0,Kickoff from SEA 35,,Kickoff,— J.Myers kicks 64 yards from SEA 35 to LAR 1. J.Whittington to LAR 29 for 28 yards (T.Knight; C.O'Toole).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,2,0,8 Yard Run,1st & 10 at LAR 29,14:51 1st,— K.Williams right guard to LAR 37 for 8 yards (C.Bryant; E.Jones).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,3,0,1 Yard Run,2nd & 2 at LAR 37,14:17 1st,— K.Williams right tackle to LAR 38 for 1 yard (D.Lawrence; J.Jobe).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,4,0,Pass Incomplete,3rd & 1 at LAR 38,13:39 1st,— M.Stafford pass incomplete short middle to P.Nacua.
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,5,0,3 Yard Run,4th & 1 at LAR 38,13:36 1st,— K.Williams up the middle to LAR 41 for 3 yards (D.Lawrence).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,6,0,7 Yard Run,1st & 10 at LAR 41,13:02 1st,— K.Williams left guard to LAR 48 for 7 yards (C.Bryant).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,7,0,4 Yard Run,2nd & 3 at LAR 48,12:25 1st,— K.Williams up the middle to SEA 48 for 4 yards (D.Hall).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,8,0,4 Yard Run,1st & 10 at SEA 48,11:53 1st,— M.Stafford scrambles left guard to SEA 44 for 4 yards (E.Jones).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,9,0,2 Yard Run,2nd & 6 at SEA 44,11:14 1st,— K.Williams up the middle to SEA 42 for 2 yards (D.Hall; R.Mills).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,10,0,3 Yard Pass,3rd & 4 at SEA 42,10:39 1st Shotgun,— M.Stafford pass short right to T.Ferguson to SEA 39 for 3 yards (T.Woolen).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,1,Los Angeles Rams,0,11,0,Turnover on Downs,4th & 1 at SEA 39,09:55 1st,— K.Williams right end to SEA 39 for no gain (D.Lawrence; J.Jobe). (Virtual Measurement).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,2,Seattle Seahawks,1,1,0,8 Yard Pass,1st & 10 at SEA 39,09:50 1st,— S.Darnold pass short left to A.Barner to SEA 47 for 8 yards (K.Curl; J.Verse).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,2,Seattle Seahawks,1,2,0,2 Yard Run,2nd & 2 at SEA 47,09:13 1st,— K.Walker left end pushed ob at SEA 49 for 2 yards (E.Forbes).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,2,Seattle Seahawks,1,3,0,46 Yard Pass,1st & 10 at SEA 49,08:44 1st No Huddle,— S.Darnold pass short left to K.Walker to LAR 5 for 46 yards (O.Speights).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,2,Seattle Seahawks,1,4,0,1 Yard Pass,1st & 5 at LAR 5,07:52 1st Shotgun,— S.Darnold pass short middle to C.Kupp to LAR 4 for 1 yard (P.Ford).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,2,Seattle Seahawks,1,5,1,Touchdown,2nd & 4 at LAR 4,07:13 1st,"— Z.Charbonnet up the middle for 4 yards, TOUCHDOWN."
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,2,Seattle Seahawks,1,6,1,Extra Point,,07:09 1st,"— J.Myers extra point is GOOD, Center-C.Stoll, Holder-M.Dickson."
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,1,0,Kickoff from SEA 35,,Kickoff,"— J.Myers kicks 63 yards from SEA 35 to LAR 2. R.Rivers MUFFS catch, and recovers at LAR 3. R.Rivers to LAR 24 for 21 yards (C.White; E.Saubert)."
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,2,0,9 Yard Pass,1st & 10 at LAR 24,07:02 1st,— M.Stafford pass short left to P.Nacua pushed ob at LAR 33 for 9 yards (J.Jobe).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,3,0,5 Yard Run,2nd & 1 at LAR 33,06:32 1st,— B.Corum left guard to LAR 38 for 5 yards (E.Jones; D.Thomas).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,4,0,27 Yard Pass,1st & 10 at LAR 38,05:57 1st Shotgun,— M.Stafford pass short left to D.Allen to SEA 35 for 27 yards (D.Thomas).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,5,0,5 Yard Run,1st & 10 at SEA 35,05:18 1st,— B.Corum left tackle to SEA 30 for 5 yards (N.Emmanwori; J.Love).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,6,0,Pass Incomplete,2nd & 5 at SEA 30,04:34 1st,— M.Stafford pass incomplete short left to D.Allen.
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,7,0,Pass Incomplete,3rd & 5 at SEA 30,04:30 1st Shotgun,— M.Stafford pass incomplete deep left to K.Mumpfield.
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,8,0,6 Yard Pass,4th & 5 at SEA 30,04:26 1st Shotgun,"— M.Stafford pass short left to P.Nacua to SEA 24 for 6 yards (J.Jobe). Penalty on SEA-D.Lawrence, Defensive Offside, declined."
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,9,0,19 Yard Pass,1st & 10 at SEA 24,04:08 1st,— M.Stafford pass short right to K.Mumpfield to SEA 5 for 19 yards (D.Lawrence; E.Jones).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,10,0,0 Yard Run,1st & 5 at SEA 5,03:25 1st,— B.Corum up the middle to SEA 5 for no gain (D.Thomas; J.Reed).
2025,WEEK 16,Thursday Night Football,December 18th,LAR,SEA,1st Quarter,3,Los Angeles Rams,1,11,0,-1 Yard Run,2nd & 5 at SEA 5,02:48 1st,— B.Corum left end to SEA 6 for -1 yards (D.Witherspoon).
