Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,1,0,Kickoff from DET 35,,Kickoff,"— J.Bates kicks 54 yards from DET 35 to GB 11. B.Melton to GB 27 for 16 yards (J.Campbell). PENALTY on GB-K.Oladapo, Offensive Holding, 10 yards, enforced at GB 27."
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,2,0,4 Yard Run,1st & 10 at GB 17,14:51 1st,— J.Jacobs right end to GB 21 for 4 yards (B.Branch).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,3,0,17 Yard Pass,2nd & 6 at GB 21,14:26 1st No Huddle,— J.Love pass deep middle to C.Watson to GB 38 for 17 yards (A.Robertson; T.Harper).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,4,0,3 Yard Run,1st & 10 at GB 38,13:46 1st Shotgun,— J.Jacobs left guard to GB 41 for 3 yards (D.Reader; J.Campbell).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,5,0,6 Yard Run,2nd & 7 at GB 41,13:01 1st Shotgun,— D.Wicks right end to GB 47 for 6 yards (A.Robertson).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,6,0,13 Yard Run,3rd & 1 at GB 47,12:20 1st,— J.Jacobs up the middle to DET 40 for 13 yards (B.Branch; T.Harper).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,7,0,1 Yard Run,1st & 10 at DET 40,11:36 1st,— J.Jacobs right tackle to DET 39 for 1 yard (J.Campbell; T.Williams).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,8,0,8 Yard Pass,2nd & 9 at DET 39,11:01 1st Shotgun,— J.Love pass short left to R.Doubs pushed ob at DET 31 for 8 yards (D.Reed).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,9,0,4 Yard Run,3rd & 1 at DET 31,10:19 1st,— E.Wilson up the middle to DET 27 for 4 yards (A.Anzalone; A.Hutchinson).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,10,0,Pass Incomplete,1st & 10 at DET 27,09:35 1st Shotgun,— J.Love pass incomplete short right to B.Melton.
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,11,0,Pass Incomplete,2nd & 10 at DET 27,09:26 1st Shotgun,— J.Love pass incomplete short middle to C.Watson.
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,12,0,Pass Incomplete,3rd & 10 at DET 27,09:23 1st Shotgun,— J.Love pass incomplete short right to J.Whyle.
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,1,Green Bay Packers,1,13,1,Field Goal,4th & 10 at DET 27,09:17 1st,"— B.McManus 45 yard field goal is GOOD, Center-M.Orzech, Holder-D.Whelan."
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,2,Detroit Lions,0,1,0,Kickoff from GB 35,,Kickoff,"— B.McManus kicks 65 yards from GB 35 to end zone, Touchback to the DET 35."
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,2,Detroit Lions,0,2,0,2 Yard Run,1st & 10 at DET 35,09:12 1st,— D.Skipper reported in as eligible. J.Gibbs right guard to DET 37 for 2 yards (I.McDuffie).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,2,Detroit Lions,0,3,0,Pass Incomplete,2nd & 8 at DET 37,08:36 1st,— J.Goff pass incomplete deep left to J.Williams [M.Parsons].
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,2,Detroit Lions,0,4,0,Pass Incomplete,3rd & 8 at DET 37,08:32 1st Shotgun,— J.Goff pass incomplete short middle to A.St. Brown (X.McKinney) [X.McKinney].
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,2,Detroit Lions,0,5,0,Punt,4th & 8 at DET 37,08:27 1st,"— J.Fox punts 46 yards to GB 17, Center-H.Hatten, fair catch by R.Doubs."
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,3,Green Bay Packers,0,1,0,1 Yard Run,1st & 10 at GB 17,08:19 1st Shotgun,— B.Melton right end pushed ob at GB 18 for 1 yard (B.Branch).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,3,Green Bay Packers,0,2,0,Pass Incomplete,2nd & 9 at GB 18,07:34 1st Shotgun,— J.Love pass incomplete short left to D.Wicks (A.Robertson).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,3,Green Bay Packers,0,3,0,4 Yard Pass,3rd & 9 at GB 18,07:30 1st Shotgun,— J.Love pass short right to C.Brooks to GB 22 for 4 yards (T.Arnold).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,3,Green Bay Packers,0,4,0,Punt,4th & 5 at GB 22,06:47 1st,"— D.Whelan punts 62 yards to DET 16, Center-M.Orzech. T.Kennedy to DET 37 for 21 yards (E.Williams; K.Welch)."
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,1,0,7 Yard Run,1st & 10 at DET 37,06:32 1st,— J.Gibbs right tackle pushed ob at DET 44 for 7 yards (K.Nixon). DET-A.St. Brown was injured during the play.
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,2,0,7 Yard Run,2nd & 3 at DET 44,06:06 1st,— D.Skipper reported in as eligible. J.Gibbs up the middle to GB 49 for 7 yards (R.Gary; T.Hopper).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,3,0,-5 Yard Penalty,1st & 10 at GB 49,05:16 1st,"— D.Montgomery up the middle to GB 48 for 1 yard (C.Wooden). PENALTY on DET, Illegal Formation, 5 yards, enforced at GB 49 - No Play."
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,4,0,0 Yard Run,1st & 15 at DET 46,04:54 1st,— D.Montgomery left end to DET 46 for no gain (E.Cooper; I.McDuffie).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,5,0,Pass Incomplete,2nd & 15 at DET 46,04:15 1st Shotgun,— J.Goff pass incomplete short right to J.Williams.
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,6,0,-6 Yard Sack,3rd & 15 at DET 46,04:11 1st Shotgun,— J.Goff sacked at DET 40 for -6 yards (sack split by M.Parsons and K.Enagbare).
2025,WEEK 13,Thursday,November 27th,GB,DET,1st Quarter,4,Detroit Lions,0,7,0,Punt,4th & 21 at DET 40,03:36 1st,"— J.Fox punts 39 yards to GB 21, Center-H.Hatten. R.Doubs to GB 23 for 2 yards (K.Dorsey; D.Thomas)."
2025,WEEK 13,Thursday,November 27th,GB,DET,2nd Quarter,1,Green Bay Packers,1,1,0,Pass Incomplete,1st & 10 at GB 23,03:26 1st,— D.Kinnard reported in as eligible. J.Love pass incomplete deep right to C.Watson.
2025,WEEK 13,Thursday,November 27th,GB,DET,2nd Quarter,1,Green Bay Packers,1,2,0,8 Yard Pass,2nd & 10 at GB 23,03:19 1st Shotgun,— J.Love pass short middle to J.Jacobs to GB 31 for 8 yards (J.Campbell; A.Anzalone).
2025,WEEK 13,Thursday,November 27th,GB,DET,2nd Quarter,1,Green Bay Packers,1,3,0,29 Yard Run,3rd & 2 at GB 31,02:33 1st Shotgun,— J.Jacobs left guard to DET 40 for 29 yards (J.Campbell).
