Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,1,Houston Texans,0,1,0,Kickoff from BUF 35,,Kickoff,— M.Prater kicks 64 yards from BUF 35 to HOU 1. J.Noel to HOU 22 for 21 yards (S.Franklin).
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,1,Houston Texans,0,2,0,Pass Incomplete,1st & 10 at HOU 22,14:55 1st Shotgun,— D.Mills pass incomplete short left to C.Stover.
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,1,Houston Texans,0,3,0,6 Yard Run,2nd & 10 at HOU 22,14:50 1st Shotgun,— W.Marks left guard to HOU 28 for 6 yards (J.Poyer; T.Bernard).
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,1,Houston Texans,0,4,0,Pass Incomplete,3rd & 4 at HOU 28,14:09 1st Shotgun,— D.Mills pass incomplete deep right to J.Higgins [J.Bosa].
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,1,Houston Texans,0,5,0,Punt,4th & 4 at HOU 28,14:04 1st,"— T.Townsend punts 43 yards to BUF 29, Center-A.Brinkman. K.Shakir pushed ob at BUF 37 for 8 yards (J.Reed). PENALTY on BUF-J.Hancock, Offensive Holding, 10 yards, enforced at BUF 29."
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,2,Buffalo Bills,1,1,0,4 Yard Run,1st & 10 at BUF 19,13:55 1st,— J.Cook right guard to BUF 23 for 4 yards (H.To'oTo'o; E.Speed).
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,2,Buffalo Bills,1,2,0,Pass Incomplete,2nd & 6 at BUF 23,13:19 1st,— J.Allen pass incomplete short right to D.Knox.
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,2,Buffalo Bills,1,3,0,5 Yard Pass,3rd & 6 at BUF 23,13:13 1st Shotgun,— J.Allen pass short right to K.Shakir to BUF 28 for 5 yards (J.Reed).
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,2,Buffalo Bills,1,4,0,3 Yard Run,4th & 1 at BUF 28,12:46 1st,— A.Anderson reported in as eligible. J.Allen up the middle to BUF 31 for 3 yards (A.Al-Shaair).
2025,WEEK 12,Thursday Night Football,November 20th,BUF,HOU,1st Quarter,2,Buffalo Bills,1,5,0,0 Yard Run,1st & 10 at BUF 31,12:09 1st,— J.Cook up the middle to BUF 31 for no gain (T.Togiai; W.Anderson).
