Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,1,0,Kickoff from ATL 35,,Kickoff,— Z.Gonzalez kicks 61 yards from ATL 35 to TB 4. K.Johnson to TB 34 for 30 yards (X.Watts; K.Hodge).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,2,0,11 Yard Run,1st & 10 at TB 34,14:53 1st,— B.Irving left guard to TB 45 for 11 yards (X.Watts; J.Bates).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,3,0,11 Yard Pass,1st & 10 at TB 45,14:13 1st Shotgun,— B.Mayfield pass short right to B.Irving pushed ob at ATL 44 for 11 yards (J.Bates) [J.Walker].
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,4,0,Pass Incomplete,1st & 10 at ATL 44,13:30 1st Shotgun,— B.Mayfield pass incomplete short right to M.Evans (L.London).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,5,0,0 Yard Run,2nd & 10 at ATL 44,13:27 1st Shotgun,— B.Irving right tackle to ATL 44 for no gain (B.Dorlus; A.Terrell).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,6,0,Pass Incomplete,3rd & 10 at ATL 44,12:46 1st Shotgun,— B.Mayfield pass incomplete short left to E.Egbuka.
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,1,Tampa Bay Buccaneers,0,7,0,Punt,4th & 10 at ATL 44,12:43 1st,"— R.Dixon punts 38 yards to ATL 6, Center-E.Deckers, downed by TB-K.Johnson."
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,1,0,1 Yard Run,1st & 10 at ATL 6,12:33 1st Shotgun,— B.Robinson right tackle to ATL 7 for 1 yard (Y.Diaby; L.David).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,2,0,10 Yard Run,2nd & 9 at ATL 7,11:53 1st,— B.Robinson left guard to ATL 17 for 10 yards (H.Reddick; L.David).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,3,0,13 Yard Pass,1st & 10 at ATL 17,11:10 1st,— K.Cousins pass short left to K.Pitts to ATL 30 for 13 yards (J.Dean). TB-J.Dean was injured during the play.
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,4,0,4 Yard Run,1st & 10 at ATL 30,10:36 1st,— B.Robinson right end to ATL 34 for 4 yards (L.Hall).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,5,0,9 Yard Pass,2nd & 6 at ATL 34,09:57 1st Shotgun,— K.Cousins pass short left to B.Robinson pushed ob at ATL 43 for 9 yards (A.Winfield).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,6,0,3 Yard Run,1st & 10 at ATL 43,09:30 1st Shotgun,— T.Allgeier left tackle to ATL 46 for 3 yards (V.Vea; L.Hall).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,7,0,5 Yard Run,2nd & 7 at ATL 46,08:49 1st,— B.Robinson right end to TB 49 for 5 yards (L.Hall; D.Jones).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,8,0,-5 Yard Penalty,3rd & 2 at TB 49,08:03 1st Shotgun,"— PENALTY on ATL-E.Wilkinson, False Start, 5 yards, enforced at TB 49 - No Play."
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,9,0,-5 Yard Penalty,3rd & 7 at ATL 46,07:37 1st Shotgun,"— ** Injury Update: TB-J.Dean has returned to the game. PENALTY on ATL, Delay of Game, 5 yards, enforced at ATL 46 - No Play."
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,10,0,4 Yard Pass,3rd & 12 at ATL 41,07:12 1st Shotgun,— K.Cousins pass short left to D.Sills to ATL 45 for 4 yards (K.Vildor).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,2,Atlanta Falcons,0,11,0,Punt,4th & 8 at ATL 45,06:29 1st,"— B.Pinion punts 38 yards to TB 17, Center-L.McCullough, fair catch by K.Johnson."
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,3,Tampa Bay Buccaneers,1,1,0,Pass Incomplete,1st & 10 at TB 17,06:22 1st Shotgun,— B.Mayfield pass incomplete short right to M.Evans (J.Pearce).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,3,Tampa Bay Buccaneers,1,2,0,7 Yard Run,2nd & 10 at TB 17,06:18 1st Shotgun,— B.Irving up the middle to TB 24 for 7 yards (D.Deablo; J.Pearce).
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,3,Tampa Bay Buccaneers,1,3,0,5 Yard Penalty,3rd & 3 at TB 24,05:32 1st Shotgun,"— B.Mayfield sacked at TB 18 for -6 yards (K.Elliss). PENALTY on ATL-A.Terrell, Defensive Holding, 5 yards, enforced at TB 24 - No Play."
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,3,Tampa Bay Buccaneers,1,4,0,20 Yard Run,1st & 10 at TB 29,05:06 1st Shotgun,— R.White left tackle to TB 49 for 20 yards (X.Watts). ATL-M.Hughes was injured during the play.
2025,WEEK 15,Thursday Night Football,December 11th,ATL,TB,1st Quarter,3,Tampa Bay Buccaneers,1,5,0,1 Yard Run,1st & 10 at TB 49,04:24 1st,— B.Irving up the middle to 50 for 1 yard (J.Bates).
